,TV_NAME,price
0,Reliance 80 cm (32 inch) HD Ready LED Smart Android TV 2025 Edition with Cloud Base TV,"₹9,990"
1,"Reliance 81 cm (32 inch) HD Ready LED Smart Android TV with Android 12, 24 W Dolby Audio, Frameless De...","₹9,490"
2,Thomson Alpha QLED 80 cm (32 inch) QLED HD Ready Smart Linux TV 2025 Edition with 36W Sound Output | W...,"₹8,999"
3,Infinix 80 cm (32 inch) HD Ready LED Smart Google TV,"₹9,499"
4,"Reliance 60 cm (24 inch) HD Ready LED Smart Android TV 2025 Edition with A+ & Full HD Support Display,...","₹7,299"
5,"Daiwa 80 cm (32 inch) QLED HD Ready Smart Google TV with Chromecast, Dolby Audio,Kids and Family featu...","₹9,999"
6,Thomson Alpha 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 W Sound Output & Bezel-Less Design,"₹7,999"
7,Thomson FA Series 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Digital Plus & Android 11,"₹9,999"
8,InnoQ Spectra 80 cm (32 inch) HD Ready LED TV with 30W Boom Speakers | Real Frameless | Noise Reductio...,"₹6,990"
9,Thomson Alpha QLED 60 cm (24 inch) QLED HD Ready Smart Linux TV 2025 Edition with 24W Sound Output | W...,"₹6,399"
10,Thomson Phoenix 80 cm (32 inch) QLED HD Ready Smart Android TV with 48W Sound Output,"₹10,499"
11,MarQ by Flipkart 80 cm (32 inch) HD Ready LED Smart Google TV,"₹9,999"
12,MOTOROLA 80 cm (32 inch) QLED HD Ready Smart Google TV 2025 Edition with Dolby Audio,"₹10,490"
13,MarQ by Flipkart 80 cm (32 inch) HD Ready LED TV,"₹7,099"
14,"Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV with YouTube & Pre-loaded Apps, Wifi Enabled, M...","₹8,999"
15,BESTON 80 cm (32 inch) QLED HD Ready Smart Google TV 2025 Edition,"₹9,999"
16,TCL L4B 79.97 cm (32 inch) HD Ready LED Smart Android TV with Metallic Bezel Less and Chromecast built...,"₹9,490"
17,BESTON 80 cm (32 inch) HD Ready LED Smart Android TV 2025 Edition,"₹7,499"
18,Infinix W-Series 80 cm (32 inch) QLED HD Ready Smart WebOS TV 2025 Edition,"₹9,799"
19,Blaupunkt CyberSound G2 Series 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Digital Plus &...,"₹9,999"
20,KODAK 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Dolby Digital Plus,"₹9,999"
21,KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹9,499"
22,Thomson R9 80 cm (32 inch) HD Ready LED TV,"₹7,999"
23,REDMI by Mi Xiaomi 80 cm (32 inch) HD Ready LED Smart Fire TV with Dolby Audio & DTS: Virtual X,"₹10,499"
